name|type|description|prerequisites|prerequisite_feats|benefit|normal|special|source|teamwork|critical|grit|style|performance|racial|companion_familiar|race_name|note|goal|completion_benefit|multiples|suggested_traits
Spell Mastery|Mythic|You're so familiar with certain spells you can prepare them with the greatest of ease.|Spell Mastery.|Spell Mastery|You can prepare spells you have selected with Spell Mastery as a full-round action. You must spend the appropriate amount of time preparing other spells you have not mastered. As a full-round action, you can expend one use of mythic power to prepare all your spells that you have selected with Spell Mastery.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Spell Penetration|General|Your spells break through spell resistance more easily than most.|||You get a +2 bonus on caster level checks (1d20 + caster level) made to overcome a creature's spell resistance.|||PFRPG Core|0|0|0|0|0|0|0|||||0|
Spell Penetration|Mythic|Your mythic power breaches your enemies' defenses.|Spell Penetration.|Spell Penetration|Add half your tier to caster level checks to overcome spell resistance. If you have Greater Spell Penetration, add your full tier instead.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Spell Perfection|General|You are unequaled at the casting of one particular spell.|Spellcraft 15 ranks, at least three metamagic feats.||Pick one spell which you have the ability to cast. Whenever you cast that spell you may apply any one metamagic feat you have to that spell without affecting its level or casting time, as long as the total modified level of the spell does not use a spell slot above 9th level. In addition, if you have other feats which allow you to apply a set numerical bonus to any aspect of this spell (such as Spell Focus, Spell Penetration, Weapon Focus [ray], and so on), double the bonus granted by that feat when applied to this spell.|||Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Spell Specialization|General|Select one spell. You cast that spell with greater than normal power.|Int 13, Spell Focus.|Spell Focus|Select one spell of a school for which you have taken the Spell Focus feat. Treat your caster level as being two higher for all level-variable effects of the spell. Every time you gain an even level in the spellcasting class you chose your spell from, you can choose a new spell to replace the spell selected with this feat, and that spell becomes your specialized spell.||You can gain this feat multiple times. Its effects do not stack. Each time you take the feat, it applies to a different spell.|Ultimate Magic|0|0|0|0|0|0|0|||||1|
Spell Sponge|General|Your mystical connection with your spellcasting master attunes you to helpful magical effects.|Animal companion or familiar, share spells ability.||"Whenever your master targets you with a harmless spell with a target of ""you,"" the spell's duration is doubled as if modified by the Extend Spell metamagic feat. This does not affect spells with a duration of concentration, instantaneous, or permanent, or spells already modified by Extend Spell."|||Animal Archive|0|0|0|0|0|0|1|||||0|
Spellbreaker|Combat|You can strike at enemy spellcasters who fail to cast defensively when you threaten them.|Disruptive, 10th-level fighter.|Disruptive|Enemies in your threatened area that fail their checks to cast spells defensively provoke attacks of opportunity from you.|Enemies that fail to cast spells defensively do not provoke attacks of opportunity.||PFRPG Core|0|0|0|0|0|0|0|||||0|
Spellbreaker|Mythic|You're a spellcaster's worst nightmare.|Spellbreaker.|Spellbreaker|Any non-mythic creature you threaten provokes an attack of opportunity from you whenever it uses a spell or spell-like ability, even when casting defensively or casting a quickened spell. If a non-mythic creature within 30 feet of you uses a spell or spell-like ability, you can expend one use of mythic power to make a ranged attack against that creature as an attack of opportunity (even if the creature wouldn't normally provoke attacks of opportunity). You must have a ranged weapon in hand or have a free hand and the non-mythic Quick Draw feat to use this ability. You can use this ability against a mythic creature by expending two uses of mythic power.|||Mythic Adventures|0|0|0|0|0|0|0|||||0|
Spellsong|General|You can blend the power of your performance and spellcasting.|Cha 13, bardic performance class ability, able to cast 1st-level spells.||You can combine your bardic performance and your spellcasting in two ways. First, you can conceal the activity of casting a bard spell by masking it in a performance. As a swift action, you may combine your casting time of a spell with a Perform check. Observers must make a Perception or Sense Motive check opposed by your Perform check to realize you are also casting a spell. This uses 1 round of your bardic performance ability, regardless of the spell's casting time. Second, as a move action, you can use 1 round of bardic performance to maintain a bard spell with a duration of concentration. You can cast another spell in the same round you are using bardic magic to maintain concentration; if you do this, your concentration on the maintained spell ends when you end the bardic performance the spell is part of.|||Ultimate Magic|0|0|0|0|0|0|0|||||0|
Spider Step|General|Your physical mastery grants you an impossible stride.|Acrobatics 6 ranks, Climb 6 ranks, monk level 6th.||As a move action, you can move up to half your slow fall distance (maximum 50 feet) across a wall or ceiling or across ropes, branches, or even water or other surfaces that cannot support your weight. You must reach a solid, level surface by the end of your turn or you will fall.|||Advanced Player's Guide|0|0|0|0|0|0|0|||||0|
Spider Step|General|You tread where only arachnids dare.|Character level 3rd, drow.||You can cast spider climb once per day as a spell-like ability, using your character level as the caster level. Furthermore, you gain a +4 bonus on saving throws against the web special attacks of spiders and the effects of web and other similar spells (such as the web cloud spell).|||Advanced Race Guide|0|0|0|0|0|1|0|Drow||||0|
Spider Summoner|General|You gain the ability to summon powerful spiders.|Ability to cast summon monster or summon nature's ally spells, drow.||When casting either a summon monster spell or a summon nature's ally spell, your options increase. Depending on the level of the spell, you can summon the spiders listed below. Summon Monster: 1st level-giant crab spider* (Bestiary 3 254); 4th level-giant black widow* (Bestiary 2 256); 5th level-ogre spider* (Bestiary 3 256); 7th level-giant tarantula* (Bestiary 2 256) Summon Nature's Ally: 1st level-giant crab spider (Bestiary 3 254); 4th level-giant black widow (Bestiary 2 256); 5th level-ogre spider (Bestiary 3 256); 7th level- giant tarantula (Bestiary 2 256) Creatures marked with an asterisk (*) are summoned with the celestial template if you are good, and the fiendish template if you are evil. If you are neutral, you may choose which template to apply to the creature. Furthermore, when you summon spiders using summon monster or summon nature's ally, the DC of the summoned monster's poison and web effects increases by 2.|||Advanced Race Guide|0|0|0|0|0|1|0|Drow||||0|
Spiked Destroyer|Combat|You can attack with your armor spikes while using bull rush or overrun.|Worshiper of Gorum, proficient in spiked armor.||When you succeed at a bull rush or overrun combat maneuver, you may automatically make an attack roll with your armor spikes against the target of the maneuver as a swift action. This attack is made using your highest attack bonus.|||Faiths Of Balance|0|0|0|0|0|0|0|||||0|
Spinning Throw|Combat|You whirl your foe around and then let go.|Combat Expertise, Improved Bull Rush, Improved Trip, Improved Unarmed Strike, Ki Throw.|Combat Expertise, Improved Bull Rush, Improved Trip, Improved Unarmed Strike, Ki Throw|On a successful unarmed trip combat maneuver against an opponent your size or smaller, you can spend a swift action to attempt a bull rush combat maneuver against that opponent. If your bull rush succeeds, you can move that opponent to any unoccupied square you threaten, then push that opponent the number of 5-foot increments your successful bull rush allows. The target is then knocked prone. If the bull rush fails, you can use the Ki Throw feat as normal. If you also have the Improved Ki Throw feat, a successful bull rush allows you to push the opponent into a space secondary targets occupy. You resolve this effect as if you used the Improved Ki Throw feat to throw the opponent into that space.||Per the Ki Throw feat, a monk can use ki to affect creatures larger than himself with this feat.|Ultimate Combat|0|0|0|0|0|0|0|||||0|
Spirit of the Wild|General|Your mystic connection with one type of wilderness has grown even stronger.|Attuned to the Wild, Guardian of the Wild, elf.|Attuned to the Wild, Guardian of the Wild|When you are in a terrain type you have selected the Attuned to the Wild feat for, you gain a +4 bonus on Perception checks made to act in the surprise round of combat. If you act in the surprise round, you gain blindsense out to a range of 30 feet during the surprise round. If you are in an area that qualif ies as more than one kind of terrain, these bonuses do not stack; you receive the bonus for only one terrain type.|||Advanced Race Guide|0|0|0|0|0|1|0|Elf||||0|
