name|type|category|requirement_race|requirement_subrace|requirement_class|requirement_alignment|requirement_other|requirement_faith|requirement_place|description|description_list|source
Trap Savvy|Regional|||||||||You gain a +1 trait bonus on Craft (traps) checks, and gain a +1 bonus to AC against attacks by traps or on saving throws against effects created by traps.||
Traumatic Shift|Race||Skinwalker|||||||You gain a +1 trait bonus on Bluff checks, and Bluff becomes a class skill for you.||
Treerazer’s Bane|Regional|||||||||You gain a +2 trait bonus on weapon damage against demons, evil fey, and plants and animals corrupted by evil.||
Trench Navigator|Regional|||||||||You gain a +1 trait bonus on Knowledge (geography) checks, and a +1 trait bonus on Profession (sailor) checks. One of these skills becomes a class skill for you.||
Triaxian Dragonslayer |Race||Triaxian|||||||You receive a +2 trait bonus on saving throws against the spells and spell-like abilities of dragons and a +1 trait bonus on caster level checks to overcome dragons' spell resistance.||Pathfinder Player Companion: People of the Stars
Triaxian Tradition|Regional|||||||||Choose disease or cold. You gain a +2 trait bonus on saves against spells and spell-like abilities with the chosen descriptor. If you choose disease, you gain the bonus on Fortitude saves against non-magical diseases as well.||Pathfinder Player Companion: People of the Stars
Trickster|Basic|Magic|Gnome|||||||You gain a +1 trait bonus to your caster level when determining the duration, range, and area of all spells from the illusion school.||
Trifler|Race|||||||||You may cast prestidigitation three times per day as a spell-like ability. This spell-like ability is cast at your highest caster level; if you have no caster level, it functions at CL 1st.||
Tropical Botanist|Race||Elf|||||||You gain a +1 trait bonus on Knowledge (nature) checks to locate or identify plants and on saving throws against the extraordinary abilities of plants.||
Tropical Upbringing|Basic|Social||||||||You gain a +1 trait bonus on saving throws against fire effects and a +2 trait bonus on Fortitude saving throws against the effects of hot weather.||
Trouper|Faction|||||||||You gain a +1 trait bonus on checks using a Perform skill of your choice and a +1 trait bonus on saving throws against abilities that rely upon the Perform skill to function, such as the bardic performance class ability.||
Trustworthy|Basic|Social||||||||You gain a +1 trait bonus on Bluff checks made to fool someone. You also gain a +1 trait bonus on Diplomacy checks, and Diplomacy is always a class skill for you.||
Truth's Agent|Basic|Social||||||||You gain a +1 trait bonus on all Diplomacy checks made to gather information and all Knowledge (local) checks. Knowledge (local) is always a class skill for you.||
Tundra Child|Regional||||||||Tundra or Cold Regions|You gain a +4 trait bonus on saving throws made to resist the effects of being in cold conditions and a +1 trait bonus on saving throws against cold effects.||
Tunnel Fighter|Race||Dwarf|||||||While underground, you receive a +2 trait bonus to initiative checks and a +1 trait bonus on weapon damage rolls for critical hits (this damage is multiplied on a critical hit).||
Twilight Zeal|Race||Tiefling|||||||You gain a +1 trait bonus on Will saving throws when in dim light or darkness.||
Twinned Presence|Basic|Magic||||||||You gain a +1 trait bonus on Intimidate checks, and Intimidate is always a class skill for you. In addition, if your eidolon is summoned and within 30 feet, and its size exceeds your own, use its size modifier on any Intimidate checks you make.||
Two-World Magic|Basic|Magic||||||||Select one 0-level spell from a class spell list other than your own. This spell is a 0-level spell on your class spell list (or a 1st-level spell if your class doesn't have 0-level spells). For example, if you are a druid, you could select mage hand and thereafter prepare it as a 0-level druid spell; if you are a sorcerer, you could select know direction as a 0-level sorcerer spell known.||
Ugly Swine|Race||Goblin|||||||You gain a +2 trait bonus on Disguise checks, and Disguise is always a class skill for you.||
Unabashed Gall|Basic|Social||||||||Whenever you commit an unexpected and outrageously unlawful act (such as knowingly destroying or stealing something) that would elicit a hostile response from another creature, you may attempt a Bluff check opposed by the opponent's Sense Motive check. If you're successful, you and any allies who were willfully expecting your unlawful deed may act in a surprise round. For each ally willfully expecting your unlawful deed, you take a cumulative –2 penalty on your Bluff check. If your Bluff check fails, there is no surprise round. Regardless of whether your Bluff check succeeds, you and any allies willfully taking advantage of your unlawful deed treat your initiative checks for the duration of combat as though you had each rolled a 1.||Champions of Balance
Unblemished Barrel|Basic|Combat||||||||You gain a +1 trait bonus on Craft (alchemy) and Craft (weapons) checks, and it takes you only 30 minutes to remove the broken condition from a firearm.||
Undead Crusader|Campaign|Mummy's Mask||||||||You gain a +1 trait bonus on damage rolls against undead creatures. In addition, you gain a +1 trait bonus on Knowledge (religion) checks, and that skill is always a class skill for you.||
Undead Slayer|Race||Dhampir|||||||You gain a +1 trait bonus on attack and damage rolls against undead creatures.||
Undead Slayer|Religion|||||||Fate, death, prophecy, rebirth||You gain a +1 trait bonus on weapon damage rolls against undead.||
Under Siege|Religion|||||||Sun, redemption, honesty, healing||You gain a +1 trait bonus on Bluff and Sense Motive checks. One of these skills (your choice) is always a class skill for you.||
Underling|Race||Tiefling|||||||You gain a +2 trait bonus on Bluff and Diplomacy checks made to either join or imply that you already belong to an evil organization.||
Underlying Principals|Religion|||||||Knowledge||You gain a +1 trait bonus on Use Magic Device checks, and it becomes a class skill for you.||
Undermarket Smuggler|Regional|||||||||You gain a +1 trait bonus on Bluff and Sleight of Hand checks.||
Underworld Explorer|Regional|||||||||You gain a +1 trait bonus on Knowledge (dungeoneering) checks, and a +1 trait bonus on Survival checks made in a specific area. One of these skills becomes class skill for you.||
Undine Loyalty|Race||Undine|||||||Choose one teamwork feat that requires an ally with the same feat to be adjacent to you. You may benefit from that teamwork feat as long as you have an ally within 10 feet of you (though your ally does not benefit from the teamwork feat unless it also has this trait or a similar ability).||
Unearth Secrets|Race||Tiefling|||||||You gain a +2 trait bonus on Sense Motive checks when trying to get a hunch that might reveal a target’s hidden vice, dark impulse, or any other craving it would not want publicly revealed.||
Unflappable Arrogance (Ifrit)|Race||Ifrit|||||||The DC to demoralize you with the Intimidate skill increases by 5. If an opponent's Intimidate check would be high enough to cause you to become demoralized for more than 1 round, you are instead demoralized for only 1 round.||Pathfinder Player Companion: Blood of the Elements
Unflinching Faith|Regional|||||||||Once per day, you may reroll a Will saving throw made against an attack or effect that originates from an undead creature. You must decide to use this trait after the first saving throw is rolled, but before the results are revealed. You must take the result of the second roll, even if it is lower.||Pathfinder Player Companion: Undead Slayer's Handbook
Unhappy Childhood|Campaign|Curse of the Crimson Throne||||||||You gain a +1 bonus on Reflex saving throws.||
Unhinged Mentality|Religion|||||||Madness, monsters, nightmares||You gain a +2 trait bonus on saving throws against confusion, insanity, and fear effects.||
Unidentifiable Appeal|Race||Dhampir|||||||You gain a +1 trait bonus on Disguise checks and a +1 trait bonus on Diplomacy checks made to influence those who would be attracted to you.||
Unintentional Linguist|Basic|Social||||||||You gain a +1 trait bonus on Linguistics checks, and you begin play knowing one of the following languages (in addition to those granted by your race and Intelligence modifier): Abyssal, Aquan, Celestial, Ignan, Infernal, Protean, or Terran.||
Unnatural Presence|Basic|Faith|||||Old Cults||Old Cults|You can use your Intimidate skill to demoralize animals and vermin; Intimidate is always a class skill for you.||
Unnatural Revenge|Basic|Social||||||||You gain a +2 trait bonus on all Intimidate checks against creatures of the animal, fey, or plant type, and Intimidate is always a class skill for you.||
